@relation 'LeukemiaData-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute 24141 numeric
@attribute 8842 numeric
@attribute 56660 numeric
@attribute 2533 numeric
@attribute 3005 numeric
@attribute 911 numeric
@attribute 240 numeric
@attribute 9900 numeric
@attribute 971 numeric
@attribute 64231 numeric
@attribute 7102 numeric
@attribute 3205 numeric
@attribute 3956 numeric
@attribute 29802 numeric
@attribute 1490 numeric
@attribute 4211 numeric
@attribute 6925 numeric
@attribute 8115 numeric
@attribute 28951 numeric
@attribute 25924 numeric
@attribute 9886 numeric
@attribute 51299 numeric
@attribute 5464 numeric
@attribute 57523 numeric
@attribute 4086 numeric
@attribute 5101 numeric
@attribute 81698 numeric
@attribute 10007 numeric
@attribute 9590 numeric
@attribute 474344 numeric
@attribute 6039 numeric
@attribute 2195 numeric
@attribute 26011 numeric
@attribute 5087 numeric
@attribute 8835 numeric
@attribute 23040 numeric
@attribute 4778 numeric
@attribute 50852 numeric
@attribute 9578 numeric
@attribute 27445 numeric
@attribute 2289 numeric
@attribute 9124 numeric
@attribute 3613 numeric
@attribute 27242 numeric
@attribute 2004 numeric
@attribute 5796 numeric
@attribute 6328 numeric
@attribute 2791 numeric
@attribute 54360 numeric
@attribute 51284 numeric
@attribute 10964 numeric
@attribute 9467 numeric
@attribute 9623 numeric
@attribute 1612 numeric
@attribute 928 numeric
@attribute 60494 numeric
@attribute 9379 numeric
@attribute 7371 numeric
@attribute 8798 numeric
@attribute 2625 numeric
@attribute 10732 numeric
@attribute 3553 numeric
@attribute 23007 numeric
@attribute 55351 numeric
@attribute 51384 numeric
@attribute 2322 numeric
@attribute class {1,2,3,4,8}

@data
12.720395,12.641109,27.773617,106.599602,46.611193,7.594199,119.531348,1.087835,55.748702,24.070363,126.743857,1.402754,19.912648,603.717564,424.0476,10.87177,210.784357,1230.555893,33.11141,7.559011,12.599493,147.2537,215.553787,1.226668,286.971218,320.786564,13.87036,32.600088,187.529271,81.713839,1.183923,43.7448,33.308233,2.955864,520.357501,8.43714,21.78583,25.030274,2.252367,74.012487,2.732248,70.427582,3.475589,247.328074,437.171497,241.88334,328.423105,176.216217,135.738559,2.936894,16.294488,76.484999,20.676203,213.162501,1.742572,1.131341,6.893344,25.680672,29.754638,114.439757,694.442315,188.645805,44.450753,164.541596,8.818876,47.151554,3
9.867653,57.280348,3.639216,215.92158,466.040815,35.824803,984.249168,10.104646,215.237621,39.398318,81.999765,19.91432,24.967781,1023.590939,336.448598,19.810406,971.052506,4095.311308,57.00174,5.706589,19.103344,340.202149,154.60129,18.500203,360.262947,562.788514,24.862482,15.533714,202.492454,99.075936,159.964014,40.240271,12.181968,33.366244,1620.800133,35.640949,9.766424,27.449632,3.059794,315.32285,2.411471,417.06562,3.703198,15.72566,544.253948,335.15176,637.451802,86.547299,6.611218,1.018912,5.10073,158.010542,2222.656197,104.743215,501.524213,110.466007,10.865588,12.176551,49.426762,43.520235,468.839691,233.973148,29.598822,345.300934,33.197201,129.454657,3
7.757629,86.841039,0.9665,59.632847,26.641956,8.689403,85.387781,5.181792,5.082205,30.120706,66.283976,5.166472,188.538298,13.33321,2.067899,13.114332,28.559978,39.528067,233.00142,1.239415,22.535313,9.224282,93.509676,1.941837,35.094718,4.027332,5.069203,10.479962,12.014895,98.467137,23.564954,18.848721,7.008537,2.799125,30.034697,4.299899,118.814414,73.095302,0.334641,6.37444,1.654716,32.340962,30.610308,7.468189,17.828589,10.754429,20.073808,14.881548,19.423913,8.3336,2.802817,48.666335,2.17674,35.489503,6.628066,5.103789,34.838645,30.987118,34.817715,185.190241,6.018217,30.355708,20.143103,9.99601,10.491505,81.807664,8
3.17324,59.77649,40.914801,3.570895,102.807178,19.135234,410.267434,4.865633,10.92526,40.190608,21.597623,0.51362,65.38389,178.331692,36.531447,0.965117,455.485437,1793.43464,10.453336,8.098235,1.223398,7.362674,107.213442,7.151969,98.87302,9.382043,6.421107,0.612992,1.649614,3.481129,1.830477,11.472636,1.851543,11.572107,279.114002,1.769021,50.101653,2.295967,20.670195,8.970944,0.764916,423.100786,25.054937,6.09633,310.067247,21.037829,0.533418,4.352215,280.144197,3.958726,115.807566,461.395756,2.440407,58.17541,446.51179,7.644346,2.671675,23.163152,25.839032,14.639834,32.714711,195.339978,31.371879,118.813795,7.603723,253.738349,1
90.818065,9.908603,1.546429,185.297592,68.372106,79.316522,19.43229,43.439246,10.556205,40.848127,869.243127,497.086408,1007.886933,2.795955,1.269664,33.527363,46.360098,28.484215,164.229503,0.51494,38.963502,16.291421,671.646997,97.608964,61.940506,42.1696,29.320562,48.879098,14.34668,216.361671,152.33705,30.736156,1.460166,29.606714,381.412273,50.932084,214.142724,100.329393,9.222086,7.285731,2.306232,33.367532,22.378239,109.298078,86.044466,7.886598,82.037946,0.771589,1.574886,8.22875,208.171654,453.188987,17.387051,473.296259,2.928613,12.05503,39.152249,85.059034,70.190415,749.777128,166.216029,72.532418,15.932962,4.567637,20.788658,12.058014,8
104.735854,12.463143,0.928902,22.417095,31.293532,17.904682,21.391362,7.630543,221.819237,49.672233,11.304679,7.030816,72.994019,406.148017,14.129831,10.938813,904.905966,2084.079329,488.156148,2.679852,22.754858,13.607831,245.182397,54.808644,138.976634,191.69094,1.489672,2.302509,286.312131,19.095079,25.975087,420.642189,127.256378,722.557812,44.129191,24.484222,76.01116,4.914866,0.798012,10.839727,1.31551,448.452579,39.937006,38.222304,106.894051,4.752688,1.363844,0.793056,1.564316,12.010138,1.485428,32.290926,63.364275,34.542756,1075.802282,31.158532,12.613281,125.778563,5.239291,16.296094,319.12432,140.420346,8.737205,83.574385,167.364632,24.272354,2
5.467176,14.485692,21.393434,141.683915,131.432113,29.827193,99.165165,2.388236,40.872204,20.233586,79.766289,2.118141,29.461367,219.724623,148.370017,8.235673,271.283793,809.723261,112.889258,1.050481,1.418197,84.403272,119.305363,3.462277,86.275765,88.943399,30.155591,10.705998,78.053131,80.505046,3.941029,60.866282,3.560773,140.221154,290.57933,10.254719,342.505717,131.707596,8.408062,112.842373,2.726827,87.569548,4.263122,134.614825,101.681939,45.016304,101.467383,69.62719,23.031832,3.73103,1.252884,100.508635,58.9803,127.708668,31.400266,15.265686,2.636863,19.488219,25.785085,154.471493,129.406536,60.304064,20.747891,112.324648,3.7916,45.597423,3
5.889212,22.046906,1.925582,150.488568,36.429124,38.467974,29.718994,13.31138,4.56737,49.147186,444.816318,11.814707,22.692376,11.565057,3.341877,25.961157,34.922177,28.957928,237.030681,2.484083,2.77333,62.011928,572.888354,3.400384,71.173196,66.67206,2.309556,53.791345,12.880019,74.99512,3.73183,165.988073,6.0391,18.61527,27.337011,17.364176,160.727645,204.479014,3.847995,27.253402,62.004537,39.256579,38.942203,32.445601,17.319682,56.553482,380.368263,2.356857,12.941541,9.051759,1.593078,287.652004,17.561024,181.63088,23.592201,10.785224,30.324322,82.805489,48.086043,376.786446,171.373518,38.893384,57.152281,4.480024,33.012551,29.014174,8
333.629607,11.486826,39.361432,12.278049,40.758543,3.963813,8.672277,1.571478,156.828419,14.800763,93.742155,0.745008,507.251239,98.874279,115.364878,73.295492,76.817608,352.631708,6.293444,36.475374,0.71046,16.697361,138.851759,1.340386,2.239931,3.841171,0.836692,1.338016,6.39015,0.259152,31.041326,4.977458,3.757253,12.146622,734.607734,3.847966,26.267175,0.464295,0.548948,9.458038,659.508537,82.109724,14.029728,9.12594,20.704616,5.822103,0.525994,10.371374,1.722578,8.193795,0.495018,25.897386,2.786719,14.746636,221.367274,4.528256,6.681207,51.017847,12.433781,26.101587,30.937439,11.211016,5.763768,1.843823,17.670826,189.207217,4
102.5888,7.334543,1.747354,3.70501,1.683497,1.108091,10.879616,1.071579,86.935941,57.118866,9.602987,4.288825,6.355378,261.747327,7.000501,8.044821,233.778689,462.237103,172.937185,0.316503,18.405926,22.150572,60.482051,43.342263,27.716441,103.511162,0.603149,1.039666,43.542002,0.506297,12.742437,78.535523,38.322676,198.087223,19.398502,13.552455,8.067339,3.366514,4.35205,11.383561,0.446691,131.326821,0.705824,7.558996,16.759296,15.205059,4.639906,0.698685,1.590865,7.692697,0.443576,26.893859,31.846067,14.952829,139.645274,27.692658,14.425153,31.444215,0.748351,15.146541,42.875937,155.433091,9.083321,9.006472,61.039291,14.354621,2
